iter	Passed	Remaining
0	56	56290
1	56	28334
2	57	18989
3	57	14324
4	57	11526
5	58	9652
6	58	8321
7	59	7325
8	59	6543
9	59	5919
10	60	5410
11	60	4986
12	60	4628
13	61	4322
14	61	4052
15	62	3818
16	62	3612
17	62	3428
18	63	3263
19	63	3114
20	63	2980
21	64	2857
22	64	2744
23	64	2642
24	65	2548
25	65	2461
26	66	2381
27	66	2306
28	66	2237
29	67	2172
30	67	2110
31	67	2054
32	68	2000
33	68	1950
34	69	1902
35	69	1858
36	69	1816
37	70	1776
38	70	1738
39	70	1702
40	71	1668
41	71	1634
42	72	1603
43	72	1573
44	72	1543
45	73	1515
46	73	1489
47	73	1464
48	74	1440
49	74	1417
50	74	1394
51	75	1373
52	75	1357
53	76	1340
54	76	1322
55	77	1303
56	77	1285
57	78	1267
58	78	1250
59	78	1234
60	79	1219
61	79	1203
62	79	1189
63	80	1174
64	80	1160
65	81	1147
66	81	1133
67	81	1121
68	82	1109
69	82	1097
70	82	1084
71	83	1073
72	83	1063
73	84	1052
74	84	1042
75	84	1032
76	85	1022
77	85	1013
78	86	1005
79	86	998
80	87	989
81	87	981
82	87	970
83	88	963
84	88	955
85	89	948
86	89	940
87	90	934
88	90	927
89	91	920
90	91	913
91	91	905
92	92	898
93	92	891
94	92	885
95	93	878
96	93	871
97	94	865
98	94	859
99	94	853
100	95	847
101	95	841
102	96	836
103	96	830
104	96	825
105	97	819
106	97	814
107	98	809
108	98	805
109	99	801
110	99	797
111	99	792
112	100	787
113	100	782
114	101	777
115	101	772
116	101	767
117	102	762
118	102	758
119	102	753
120	103	749
121	103	744
122	103	740
123	104	736
124	104	733
125	105	729
126	105	725
127	105	721
128	106	718
129	106	714
130	107	711
131	107	707
132	108	704
133	108	701
134	108	697
135	109	694
136	109	691
137	110	688
138	110	684
139	111	681
140	111	678
141	111	674
142	111	671
143	112	668
144	112	665
145	113	661
146	113	658
147	113	655
148	114	652
149	114	650
150	115	646
151	115	643
152	115	641
153	116	638
154	116	635
155	116	632
156	117	630
157	117	627
158	118	625
159	118	622
160	118	619
161	119	617
162	119	614
163	120	612
164	120	610
165	120	607
166	121	605
167	121	602
168	122	600
169	122	598
170	122	595
171	123	593
172	123	591
173	124	588
174	124	586
175	124	584
176	125	581
177	125	580
178	126	578
179	126	576
180	127	575
181	127	573
182	127	571
183	128	568
184	128	566
185	129	564
186	129	562
187	129	560
188	130	558
189	130	557
190	131	555
191	131	554
192	132	552
193	132	550
194	133	549
195	133	548
196	134	546
197	134	545
198	135	543
199	135	542
